ES,FR,PT
1322.3650239218614,-1783.3419390067802,460.9769150849188
1453.6889544543924,-1996.025558041615,542.3366035872227
2872.761706445476,-3411.0090956562494,538.247389210773
2460.67706600725,-2998.0377139627412,537.3606479554915
2218.0197205720087,-2715.838814279116,497.8190937071074
2189.6009177991727,-2562.7878518666616,373.18693406748866
2014.7585184815216,-2350.0951909687683,335.3366724872469
-242.22426054962443,33.771897913037975,208.45236263658637
1180.6539523508459,-1456.1214791000793,275.4675267492334
537.1712330598452,-523.5084255889785,-13.662807470866909
406.3006627170954,-389.8741096690809,-16.42655304801451
970.32036654795,-1044.2260069769698,73.90564042901975
592.4819600991848,-653.2924698452039,60.81050974601902
1114.3150507737905,-1068.476697028573,-45.83835374521766
-1366.119805023247,1747.6521731755327,-381.5323681522859
-1859.4509018128604,2171.0624119511267,-311.61151013826634
906.0321100908266,-678.6249781420465,-227.40713194877998
-1310.7167284854513,1527.9420599703353,-217.225331484884
529.4096264993165,-219.7400055687799,-309.66962093053655
1737.666772424873,-1646.1639056179954,-91.50286680687775
-467.7685970135973,667.1019272631164,-199.33333024951912
309.2300761824333,-309.53291876199876,0.3028425795654357
1080.7092946366165,-1254.7066788369941,173.99738420037772
2009.2600389492138,-2257.8543112770003,248.5942723277866
