index,node_i,node_j,voltage,circuits,dc,x,r,capacity
LTGES1173a,ES01126,ES01125,320,1,f,2.46185,0.3716,1429.981146728865
LTGES1174b,ES01126,ES01125,320,1,f,2.46185,0.3716,1429.981146728865
LTGES1175a,ES00920,ES00488,220,2,f,0.58093,0.11579999999999999,983.1120383760947
LTGES1175b,ES00920,ES00488,220,2,f,0.58093,0.11579999999999999,983.1120383760947
LTGES1176,ES01130,ES00630,220,1,f,0.43644999999999995,0.087,491.55601918804734
LTGES1177a,ES00257,ES00250,220,2,f,2.01369,0.40140000000000003,983.1120383760947
LTGES1177b,ES00257,ES00250,220,2,f,2.01369,0.40140000000000003,983.1120383760947
LTGES1178a,ES00256,ES00249,132,2,f,2.5422000000000002,0.634881,338.37344576665583
LTGES1178b,ES00256,ES00249,132,2,f,2.5422000000000002,0.634881,338.37344576665583
LTGES1179a,ES00259,ES00261,220,2,f,4.2139999999999995,0.84,983.1120383760947
LTGES1179b,ES00259,ES00261,220,2,f,4.2139999999999995,0.84,983.1120383760947
LTGES1180a,ES00258,ES00260,132,2,f,5.32,1.3286,338.37344576665583
LTGES1180b,ES00258,ES00260,132,2,f,5.32,1.3286,338.37344576665583
LTGES1181a,ES00091,ES00705,220,3,f,0.55384,0.1104,1474.6680575641421
LTGES1181b,ES00091,ES00705,220,3,f,0.55384,0.1104,1474.6680575641421
LTGES1181c,ES00091,ES00705,220,3,f,0.55384,0.1104,1474.6680575641421
LTGES1182a,ES00090,ES00704,132,3,f,0.6992,0.174616,507.5601686499838
LTGES1182b,ES00090,ES00704,132,3,f,0.6992,0.174616,507.5601686499838
LTGES1182c,ES00090,ES00704,132,3,f,0.6992,0.174616,507.5601686499838
LTGES1183a,ES00090,ES00704,132,3,f,0.6992,0.174616,507.5601686499838
LTGES1183b,ES00090,ES00704,132,3,f,0.6992,0.174616,507.5601686499838
LTGES1183c,ES00090,ES00704,132,3,f,0.6992,0.174616,507.5601686499838
LTGES1184a,ES00615,ES00426,220,2,f,0.95718,0.1908,983.1120383760947
LTGES1184b,ES00615,ES00426,220,2,f,0.95718,0.1908,983.1120383760947
LTGES1185a,ES00223,ES00042,220,2,f,15.98009,3.1854,983.1120383760947
LTGES1185b,ES00223,ES00042,220,2,f,15.98009,3.1854,983.1120383760947
LTGES1186,ES01132,ES01085,220,1,f,3.19963,0.6378,491.55601918804734
LTGES1187,ES01102,ES01133,220,1,f,3.20264,0.6384,491.55601918804734
LTGES1188a,ES00157,ES00723,400,2,f,0.65928,0.0804,3574.952866822163
LTGES1188b,ES00157,ES00723,400,2,f,0.65928,0.0804,3574.952866822163
LTGES1189a,ES00157,ES00165,400,2,f,1.2324599999999999,0.1503,3574.952866822163
LTGES1189b,ES00157,ES00165,400,2,f,1.2324599999999999,0.1503,3574.952866822163
LTGES1190,ES00027,ES01135,220,1,f,4.5270399999999995,0.9023999999999999,491.55601918804734
LTGES1191,ES01136,ES00082,400,1,f,8.7699,1.0695,1787.4764334110814
LTGES1192,ES00076,ES00014,400,1,f,11.028179999999999,1.3449,1787.4764334110814
LTGES1193a,ES00470,ES00638,220,2,f,5.69191,1.1346,983.1120383760947
LTGES1193b,ES00470,ES00638,220,2,f,5.69191,1.1346,983.1120383760947
LTGES1194,ES00470,ES00023,220,1,f,2.8655199999999996,0.5711999999999999,491.55601918804734
LTGES1195,ES00125,ES00546,220,1,f,2.1370999999999998,0.426,491.55601918804734
LTGES1197,ES00639,ES00359,400,1,f,9.3234,1.137,1787.4764334110814
LTGES1198,ES00365,ES00639,400,1,f,10.865820000000001,1.3251,1787.4764334110814
LTGES1199a,ES01140,ES01134,220,2,f,3.2477899999999997,0.6474,983.1120383760947
LTGES1199b,ES01140,ES01134,220,2,f,3.2477899999999997,0.6474,983.1120383760947
LTGES1200,ES00640,ES01141,220,1,f,4.70764,0.9384,491.55601918804734
LTGES1201,ES00476,ES01142,400,1,f,6.58788,0.8034,1787.4764334110814
LTGES1202,ES01144,ES01145,220,1,f,2.25148,0.44880000000000003,491.55601918804734
LTGES1203a,ES00544,ES00641,400,2,f,18.42786,2.2472999999999996,3574.952866822163
LTGES1203b,ES00544,ES00641,400,2,f,18.42786,2.2472999999999996,3574.952866822163
LTGES1204,ES00642,ES00995,400,1,f,1.80318,0.21989999999999998,1787.4764334110814
LTGES1205a,ES00642,ES01116,400,2,f,1.44894,0.1767,3574.952866822163
LTGES1205b,ES00642,ES01116,400,2,f,1.44894,0.1767,3574.952866822163
LTGES1206a,ES01148,ES01149,400,2,f,1.2349199999999998,0.15059999999999998,3574.952866822163
LTGES1206b,ES01148,ES01149,400,2,f,1.2349199999999998,0.15059999999999998,3574.952866822163
